Year,CA,US,EU,VE,Asia,NO,AU,ET,CN,CH,NZ,UY,AQ,ML,BR,MD,MU,AR,CL,IS,TG,NC,KE,HT,ZA,CG,TK,PA,AX,FJ,TV,MA,RU,MX,RW,MW,UG,VA,EG,PR,GA,CR,BW,NA,GH,CO,AL,TC,TF,SN,UM,CD,BJ,NG,CI,TN,UA,CC,DZ,AD,SC,TZ,LS,GN,AI,KN,CF,CM,SL,TT,GT,GM,CU,PG,ZW,BZ,GU,NE,PY,LC,BB,DO,SV,SD,CK,BF,EH,BO,SX,NI,AO,CW,PE,NR,JM,ER,EC,BI,LR,MR,GD,ZM,RS,MK,VG,PS,SR,CV,LY,SO,VU,TO,BA,AG,HN,SS,BY,GY,DM,WS,MZ,ME,TL,,KY,CX,TD
82,19,367,204,1,271,1,7,,151,4,5,2,,,4,,1,,,,,,1,1,1,,,1,,,,1,1,2,,,,,,,,1,,,,,,,,1,2,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,36,535,544,,165,13,7,2,151,13,4,1,,1,8,,1,1,1,,1,,1,1,4,,,,,,,,1,,,,,,1,,1,,,,,,1,,,2,1,2,1,2,4,3,,,7,,,2,,6,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,59,613,253,2,171,10,11,1,146,8,4,2,,,5,,2,1,2,,1,,3,5,,3,,,,,,1,,3,,,1,,,,,,,,15,,2,,,2,,1,1,3,,,,,2,1,,,,,,,,5,,1,1,10,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,40,681,244,2,146,8,7,2,137,4,4,3,,,7,1,,2,2,,,,2,4,,1,,1,,,,2,,2,1,,1,,,,4,,,1,2,1,,,,,,2,,6,2,4,1,,,,,,2,,,,,1,,,,17,,,,,,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,39,630,232,3,129,6,7,,109,6,2,2,,,5,,1,3,2,,,,1,1,,1,,,,,,,1,4,,,,,1,,,3,,,1,,,1,,1,,1,2,13,1,,,,,3,,,1,,,,,,,,,6,,,,,,,1,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,34,523,562,6,164,14,15,2,137,24,2,2,,,16,,2,2,5,,1,,4,,4,6,,,,,,2,3,7,,1,1,1,1,,1,,,,,2,,,,3,2,,,10,2,1,1,,2,,,,,6,,,,,,,,7,,,,1,,,,,,,,,1,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,76,654,253,3,138,7,13,1,107,9,4,4,,1,11,,,2,3,,,,3,3,3,2,,1,,,,1,2,2,1,,1,,,,,,1,,13,2,,1,,2,1,1,,3,1,,1,,,1,,5,,1,,,,8,,,,8,1,,,,,,,,,,,,,,,2,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,35,578,571,4,159,18,13,1,103,16,3,2,,,7,,4,1,2,,1,,3,,1,1,,,,,1,3,1,3,1,,1,,,,,,1,,7,,,,,,,3,1,5,1,2,1,,1,,1,1,,,,,,1,2,1,,2,,,,,,,,,,,,,,1,,1,,,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,124,657,288,4,161,8,12,,115,8,3,4,,,7,,2,5,3,,1,,6,,1,1,,3,,,,,4,4,,,,1,2,,,1,,,29,,1,,,2,,,,13,7,1,,1,1,1,,1,,,,,,15,,1,,6,1,,,,,,1,,,,,,,2,,,,,,,1,,1,,,1,,1,2,3,1,1,,,,,,,,,,,,,,,,,,,,,,,
91,51,658,263,4,175,10,13,,120,13,5,6,,,13,1,,3,4,,,1,1,2,2,,,,,,,1,2,6,,,,1,,,,,,,2,1,1,,,2,,,,12,1,,,,,,,1,,,,,,2,,1,,4,,,,1,,,,,,,,,1,1,,,,,,,10,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,44,730,257,2,131,11,9,3,128,8,4,3,,,22,,2,2,6,,,,1,2,,1,,,,,,4,4,2,,,1,3,3,,,,,,4,2,1,1,,2,1,,,14,3,1,2,,,2,,,,,,,,14,,,,8,,,,,,1,1,,,,,,,,,1,,,,,2,,,,1,1,,,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,
93,48,573,515,3,149,14,11,,122,16,3,4,,,22,,3,4,5,,,,2,,1,4,,,,,,1,10,3,,,1,1,,,,1,,,5,2,,,,,1,,,2,2,2,5,,1,,,,,,,,,,,,,7,,,,,,,,,,1,1,,,,,1,,,,,3,,,,2,,,,,,1,,,,,,1,2,,,,,,,,,,,,,,,,,
94,34,473,268,3,444,12,16,,131,10,3,5,,,36,,2,7,2,,,,3,1,,,,1,,3,,1,6,3,,,,,,,,,,,6,3,,,,,1,,,4,,,,,,1,,,,,,,,,,,,3,,,,,,,,,,,,,1,,,,,,,,,,,,2,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,
95,42,583,323,6,343,10,11,6,110,9,4,16,,,67,,1,176,23,1,2,1,1,,3,,,1,,1,,3,11,10,,,,1,,,,6,1,,1,4,,2,,,,,1,1,,,,,,4,,,,,,,,1,,,,,,,,1,,,1,,1,2,,,,1,,3,,,,,5,,,,18,1,,,,,,,,,,,1,,,,1,1,1,1,,,,,,,,,,,
96,42,607,654,2,231,16,10,3,143,15,4,4,,1,72,2,4,11,5,1,1,1,1,,2,1,,1,,,,2,11,4,,,1,1,,,,1,,,5,3,,,,,,,,4,2,1,3,,1,4,,,,4,,,,5,,,,3,,,,,,,,,,,,,,,,,,1,,,5,,,,1,,,,,,,,,1,,,,,,,,,,,5,,,,,,,,,,
97,31,383,204,,236,7,16,1,117,10,2,1,,,12,,2,2,1,,,,1,,1,,,,,,,,7,2,,,1,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
98,48,601,218,1,90,10,11,1,86,8,3,2,,,10,,3,3,5,,,,2,,2,,,1,,,,,5,4,,,,,,,,,1,1,,2,,,,,,,,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,2,,,1,1,,,,,,,,
99,32,452,432,1,114,9,15,,95,18,2,3,,,11,2,2,5,5,,,,2,,4,,,1,,,,3,12,2,,,1,,1,,,1,,,,1,,,,,1,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,28,390,218,,186,10,19,,114,17,3,1,,,9,,1,2,,,,,,,2,,,2,,,,,4,3,,,1,,,,,,,,,2,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,
101,41,418,476,,106,9,16,1,102,19,3,,,,13,,,2,3,1,,,2,,1,,,,,,,,9,3,,,,,,,,,,,,,,,,,,,,1,,,2,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,2,,,,1,1,,,,,
102,96,492,220,,116,7,11,1,79,10,2,3,,,8,1,,3,5,,,,2,,1,,,,,,,1,4,2,,,,,1,,,,,,1,,,,,3,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,,,,,,,,,,,,,,,,,,,,1,,,,2,,,,,,,,1,,,,,,,,,,,,
103,28,311,202,,193,5,15,,84,11,1,1,,,6,,1,1,,,,,3,,,,,,,1,,1,8,1,,,,1,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,1,,,,
104,39,401,434,1,121,9,13,2,94,51,1,2,,,7,,4,2,1,,,,3,,,,,,,,,2,11,2,,,1,1,1,,,1,,,2,2,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,2,,,,,
105,91,510,224,1,117,5,15,,94,8,2,2,,,5,,1,3,3,,,,2,,2,,,1,,,,1,6,3,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
106,34,342,236,,187,7,18,,121,14,6,2,,,6,,2,1,1,,1,,3,,1,,,,,,,,13,1,,,,1,1,,,1,,,2,1,,,,,,,,,,,2,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
108,45,471,338,,126,6,10,,117,10,1,3,,,5,,4,4,3,,,,3,,6,,,,,,,1,3,2,,,1,,1,,,1,,,,2,,,,,,,,3,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
109,53,466,377,,180,5,12,,109,16,5,2,,1,7,,1,6,2,,,,1,,7,,,1,,,,1,8,1,,,1,,1,,,1,,1,,1,,,,,,,,4,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,1,,2,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,1,
110,63,502,392,1,162,7,8,1,112,21,2,1,,,5,,2,7,6,1,,,1,,5,,,,,,,1,8,2,,2,1,,,,,1,,,1,1,,,,,,,,1,,,,,,,,2,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,1,,2,,,,,,1,,,,,,,1,,,1,,,,,,,,,,,,1,,,,,,1
111,64,565,386,1,174,4,11,1,114,18,5,4,,1,4,,2,9,3,1,,,2,,6,,,1,,,,1,7,7,,,1,,1,,,2,,2,1,1,,,,,1,,,3,,,,,,,,1,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,1,,,,,,
112,52,527,378,2,150,7,13,,141,20,3,1,,,7,,1,4,3,1,,,1,,5,,,,,,,1,7,2,,,3,,1,,,1,,,2,1,,,,,,,,2,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,2,,1,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,1,,,,,,
113,52,514,432,1,162,8,8,,164,29,2,1,,,7,,1,6,4,1,1,,5,1,2,,,,,,,1,6,5,,,,,1,,,1,,1,2,1,,,,,,,,1,,,1,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,1,,1,,,,,1,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,
114,53,627,344,,163,5,11,,148,29,2,1,,,5,,4,4,4,,,,4,,4,,,,,,,1,6,2,,,,,1,,,1,,,2,1,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,
115,52,568,558,2,183,10,17,,167,26,4,1,,,6,,,6,5,,,,4,,3,,,,,,,1,6,2,,,1,,1,,,1,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,1,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
